[22:56:40] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:56:41] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:56:41] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:56:42] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:56:42] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:56:42] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:56:42] [main/INFO]: Reloading ResourceManager: Default
[22:56:43] [Worker-Main-9/INFO]: Loaded 7 recipes
[22:56:44] [Worker-Main-9/INFO]: Loaded 927 advancements
[22:56:46] [Server thread/INFO]: Starting minecraft server version 1.16.4
[22:56:46] [Server thread/INFO]: Loading properties
[22:56:46] [Server thread/INFO]: Default game type: SURVIVAL
[22:56:46] [Server thread/INFO]: Generating keypair
[22:56:46] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:56:46] [Server thread/INFO]: Using default channel type
[22:56:47] [Server thread/INFO]: Preparing level "world"
[22:56:54] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:56:54] [Worker-Main-15/INFO]: Preparing spawn area: 0%
[22:56:54] [Worker-Main-15/INFO]: Preparing spawn area: 0%
[22:56:55] [Worker-Main-15/INFO]: Preparing spawn area: 0%
[22:56:55] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:56:56] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[22:56:56] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:56:57] [Worker-Main-15/INFO]: Preparing spawn area: 1%
[22:56:57] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[22:56:58] [Worker-Main-15/INFO]: Preparing spawn area: 5%
[22:56:58] [Worker-Main-12/INFO]: Preparing spawn area: 5%
[22:56:59] [Worker-Main-15/INFO]: Preparing spawn area: 5%
[22:56:59] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[22:57:00] [Worker-Main-12/INFO]: Preparing spawn area: 9%
[22:57:00] [Worker-Main-8/INFO]: Preparing spawn area: 9%
[22:57:01] [Worker-Main-15/INFO]: Preparing spawn area: 9%
[22:57:02] [Worker-Main-11/INFO]: Preparing spawn area: 9%
[22:57:02] [Worker-Main-11/INFO]: Preparing spawn area: 9%
[22:57:02] [Worker-Main-14/INFO]: Preparing spawn area: 11%
[22:57:03] [Worker-Main-8/INFO]: Preparing spawn area: 11%
[22:57:03] [Worker-Main-15/INFO]: Preparing spawn area: 17%
[22:57:04] [Worker-Main-11/INFO]: Preparing spawn area: 21%
[22:57:04] [Worker-Main-11/INFO]: Preparing spawn area: 25%
